institution,is_state,institutional_level,institutional_years,institutional_until,teaches_medicina,programme_accred_years,programme_accred_until,medicina_students_2026,new_programme_2026,can_revalidate_medical_degree,reason_uk,slug
Universidad de Valparaíso,yes,Excelencia,6,2029-03-08,yes,7,09-08-2030,897,no,yes,Відповідає ст. 5 і ст. 4,universidad-de-valparaiso
Universidad de Talca,yes,Excelencia,7,2033-06-01,yes,5,20-03-2029,620,no,yes,Відповідає ст. 5 і ст. 4,universidad-de-talca
Universidad de Santiago de Chile,yes,Excelencia,7,2028-02-25,yes,5,06-08-2030,525,no,yes,Відповідає ст. 5 і ст. 4,universidad-de-santiago-de-chile
Universidad de La Frontera,yes,Avanzado,5,2030-09-03,yes,6,05-01-2028,507,no,yes,Відповідає ст. 5 і ст. 4,universidad-de-la-frontera
Universidad de Antofagasta,yes,Avanzado,5,2027-09-07,yes,5,21-09-2027,392,no,yes,Відповідає ст. 5 і ст. 4,universidad-de-antofagasta
Universidad de Atacama,yes,Avanzado,5,2031-04-01,yes,4,19-08-2030,344,no,yes,Відповідає ст. 5 і ст. 4,universidad-de-atacama
Universidad de Tarapacá,yes,Excelencia,6,2029-06-22,yes,5,19-03-2030,260,no,yes,Відповідає ст. 5 і ст. 4,universidad-de-tarapaca
Universidad de Chile,yes,Excelencia,7,2032-12-23,yes,7,16-08-2030,1831,no,own_route,"Діє за власним статутом (DFL 3/2006, ст. 6), а не за Decreto 174",universidad-de-chile
Universidad de Magallanes,yes,Avanzado,5,2028-12-31,yes,4,In progress(*),355,no,conditional,Акредитація програми в процесі — треба уточнювати,universidad-de-magallanes
Universidad del Bío-Bío,yes,Avanzado,5,2030-01-15,yes,,,153,no,no,Програма з медицини не значиться в реєстрі акредитацій CNA,universidad-del-bio-bio
Universidad de La Serena,yes,Avanzado,5,2026-11-03,yes,,,38,yes,no,"Програма стартувала 2026 року: немає ані акредитації, ані випуску",universidad-de-la-serena
Universidad de Los Lagos,yes,Avanzado,5,2026-09-09,yes,,,35,yes,no,"Програма стартувала 2026 року: немає ані акредитації, ані випуску",universidad-de-los-lagos
Universidad Arturo Prat,yes,Avanzado,5,2027-07-06,no,,,,no,no,Не викладає медицину — ст. 4 не дозволяє,
Universidad de Playa Ancha,yes,Avanzado,5,2027-05-25,no,,,,no,no,Не викладає медицину — ст. 4 не дозволяє,
