es_term,uk_render,gloss_uk,do_not_use,note
reconocimiento,визнання диплома,"Чилі офіційно засвідчує, що людина має іноземний диплом або ступінь. Не дає права працювати за регульованою професією.",нострифікація;підтвердження,"Один із ТРЬОХ різних актів. Не змішувати з revalidación."
revalidación,ревалідація диплома,"Іноземний диплом прирівнюється до конкретного чилійського. Саме це дає право працювати лікарем.",нострифікація;підтвердження;визнання диплома,"Один із ТРЬОХ різних актів. Найсильніший."
convalidación,перезарахування дисциплін,"Зарахування окремих навчальних предметів, а не диплома в цілому.",визнання диплома;ревалідація диплома,"Один із ТРЬОХ різних актів. Стосується предметів, не диплома."
título profesional,професійний титул,"Документ про право на професію (напр. Médico Cirujano). Не науковий ступінь.",науковий ступінь,
grado académico,науковий ступінь,"Академічний ступінь (licenciado, magíster, doctor). Не право на професію.",професійний титул,
Médico Cirujano,лікар,"Чилійський професійний титул лікаря. Завжди наводити іспанською.",,
especialidad médica,лікарська спеціальність,"Напр. ревматологія. Визнається окремо від диплома.",,
certificación de especialidad,сертифікація спеціальності,"Підтвердження спеціальності через CONACEM або державний шлях.",,
jerarquía académica,академічна ієрархія,"Щаблі: Instructor / Profesor Asistente / Profesor Asociado / Profesor Titular.",,"Звання присвоює кожен ВНЗ окремо. Українське звання не переноситься."
concurso académico,конкурс на академічну посаду,"Публічний конкурс на посаду викладача.",вакансія,
matrícula total,загальна кількість студентів,"Усі студенти спеціальності, усі курси.",набір;кількість місць,"НЕ те саме, що набір першого курсу."
matrícula de primer año,набір першого курсу,"Кількість зарахованих на перший курс за рік.",загальна кількість студентів;кількість місць,"НЕ те саме, що оголошені місця."
vacantes ofrecidas,оголошені місця,"Скільки місць ВНЗ оголосив, а не скільки заповнив.",набір першого курсу,
arancel,збір,"Офіційний платіж за процедуру або навчання.",,
UTM,UTM,"Unidad Tributaria Mensual — розрахункова одиниця, що змінюється ЩОМІСЯЦЯ. Сума в песо без місяця недійсна.",,
RUT,RUT,Чилійський податковий/ідентифікаційний номер.,,
ClaveÚnica,ClaveÚnica,Державний єдиний логін для чилійських е-послуг.,,
apostilla,апостиль,"Міжнародне засвідчення документа. Чилі — учасниця Гаазької конвенції.",легалізація,"Консульська легалізація НЕ потрібна між Україною та Чилі."
académico,науково-педагогічний працівник,"Загальна назва для викладача-дослідника у ВНЗ.",,
docente,викладач,"Той, хто викладає. У Чилі це РОЛЬ, а не звання.",доцент,"«docente» НЕ означає «доцент». Найнебезпечніша пастка перекладу в цьому документі."
доцент,доцент,"Українське вчене звання, приблизно Profesor Asociado. Чилі іноземних звань не визнає.",,"Ніколи не перекладати як docente."
investigador,дослідник,Науковий співробітник без викладацького навантаження.,,
carrera de Medicina,спеціальність «Медицина»,Освітня програма підготовки лікарів.,факультет,
facultad de medicina,медичний факультет,,,
honorarios,договір підряду (honorarios),"Робота без штатної посади, за рахунками.",,
contrata,строковий контракт (contrata),Посада на визначений строк у державному секторі.,,
planta,штатна посада (planta),Постійна посада в державному секторі.,,
programa de especialidad,програма підготовки за спеціальністю,"Чилійська післядипломна підготовка лікаря-спеціаліста; розмовно «beca».",ординатура;інтернатура,"«Ординатура» — пострадянський інститут; прирівнювати їх не можна."
