slug,institution,is_state,regions,open_academic_posts_2026_09_03,positions_note,foreign_title_requirement_note,careers_page_url,academic_concursos_url,hr_contact,rheumatology_unit,rheumatology_postgrad,faculty_url,dean,faculty_email,checked_at
universidad-central-de-chile,Universidad Central de Chile,no,Metropolitana,43,"43 academic teaching competitions were open on the live SGCA listing: 20 in Facultad de Medicina y Ciencias de la Salud, 13 in Ingeniería y Arquitectura, 6 in Educación, and 4 in Economía, Gobierno y Comunicaciones. The accessible public detail form did not expose the individual vacancies or a Medicina/Medicina Interna post without its session-based faculty selection.","UNKNOWN. The publicly readable detail page states: “Junto a los requisitos que se especifican para cada concurso, es deseable que el o la postulante cuente con formación comprobable en docencia universitaria”. It displayed “No records found” outside the session-based faculty selection; no published requirement concerning foreign degrees, revalidación, or Chilean nationality could be verified. Do not infer that a Chilean title is required from this listing.",https://funcionarios.ucentral.cl/sgca/pages/ofertaPublica.xhtml,https://funcionarios.ucentral.cl/sgca/pages/ofertaPublica.xhtml,UNKNOWN,yes,no,https://famedsa.ucentral.cl/,Dra. Gisela Alarcón Rojas (Decana (I)),UNKNOWN,2026-09-03
pontificia-universidad-catolica-de-chile,Pontificia Universidad Católica de Chile,no,Metropolitana,4,"Four academic posts were open today across UC: one in Biology and Sustainability, one in Comparative Politics, and two teaching posts in Physics. None is in the Facultad de Medicina, Medicina Interna, or rheumatology.","No current call requires Chilean nationality or states a foreign-degree revalidation requirement. The published foreign-applicant requirement is: “Una persona de nacionalidad extranjera que postula desde el extranjero requerirá, en caso de quedar seleccionada para el cargo, contar con la visa correspondiente, obtenida en el consulado del país de origen, para su incorporación a la planta académica de la Universidad.” The current Physics call likewise says: “Si la persona seleccionada para este ca",https://cargosacademicos.uc.cl/,https://cargosacademicos.uc.cl/,convocatorias_acad_dda@uc.cl; (+56) 95504 2412,yes,yes,https://facultadmedicina.uc.cl/,Dr. Bruno Nervi Nattero,escuelamedicina@uc.cl,2026-09-03
universidad-de-chile,Universidad de Chile,yes,Metropolitana,4,"Four Faculty of Medicine academic posts were open on 3 September 2026, closing 6 September: MD2620 Neurological Sciences East (22 hours; neurology), MD2621 Internal Medicine South (11 hours; internal medicine and intensive care), MD2622 Health Sciences Education (44 hours; information/control-management engineer plus doctorate), and MD2623 Health Sciences Education (44 hours; psychologist plus doc","The published requirements do not require Chilean nationality or state that a foreign title must be revalidated for these academic posts. They accept a passport as identity evidence. For foreign professional titles and/or academic degrees they state: “En el caso de certificaciones de título profesional y/o grado(s) académico(s) obtenidos en el extranjero, estos deberán encontrarse debidamente apostillados y/o contar con la validación correspondiente emitida por el Ministerio de Relaciones Exteri",https://concurso-academico.uchile.cl/,https://medicina.uchile.cl/informacion-academicos/concursos-vigentes-para-provision-de-cargo-academico-en-calidad-de-contrata,rrhhacademicos.med@uchile.cl,yes,yes,https://medicina.uchile.cl/,Dr. Miguel O'Ryan Gallardo,secestud@med.uchile.cl,2026-09-03
universidad-diego-portales,Universidad Diego Portales,no,Metropolitana,4,"4 open academic calls today: teachers for CFG courses; teachers for Diploma de Honor courses; two academics for the School of Film and Animation; and one professor of English-language-teaching research/teacher education. None is in Medicine, Internal Medicine, or Rheumatology. The Film and Animation call explicitly seeks two people, so the four calls represent at least five posts; the two teaching","No foreign-degree, revalidación, or Chilean-nationality requirement is stated on the accessible vacancy landing pages. Their detailed bases are linked as DOCX files, which could not be read by the web fetcher. Separately, this is a material clinical-practice constraint: a current UDP medical-specialty page requires “Certificado de Título o Certificado de reconocimiento o revalidación de título de médico cirujano en Chile”.",https://www.udp.cl/docentes/concursos-academicos/,https://www.udp.cl/docentes/concursos-academicos/,unknown,yes,no,https://medicina.udp.cl/,Matías González Tugas,unknown,2026-09-03
universidad-andres-bello,Universidad Andrés Bello,no,Biobío | Metropolitana | Valparaíso,3,"3 current academic/Faculty of Medicine-related posts found today: “Docente Obstetricia Sede Santiago”, “Tutor(a) Docente, Asignatura Medicina Familiar y Comunitaria”, and “Coordinador(a) Académico(a) Medicina-Santiago”. The last is an academic-administration role, not a teaching appointment. No rheumatology post was found.","The published requirements reviewed do not mention Chilean nationality, revalidación, recognition of a foreign degree, or EUNACOM. The Medicina coordinator advert says: “Profesional del área de la salud”; it does not state how a foreign medical title is assessed. This is not evidence that clinical practice is permitted without Chilean recognition.",https://unab.trabajando.cl/,https://unab.trabajando.cl/empleo-categoria/1243-cargos-profesionales,UNKNOWN,unknown,unknown,https://facultades.unab.cl/medicina/,Dr. Patricio Burdiles,patricio.burdiles@unab.cl,2026-09-03
universidad-catolica-de-temuco,Universidad Católica de Temuco,no,La Araucanía,3,"3 academic posts open today: 115/2026 Academic, Commercial Engineering (closes 30 September); 110/2026 Academic, Kinesiology (closes 21 September); and 107/2026 Academic, Industrial Processes (closes 21 September). No Medicine or Internal Medicine academic post is open today.","No published requirement found for Chilean nationality or revalidación of a foreign degree. The posts require legalised copies of degrees/certificates. For foreign candidates, the stated rule is: «deben contar con todos sus documentos legales al día», including work visa, residence permit and Chilean identity card; without them, application and/or appointment is barred.",https://ddper.uct.cl/concursos-abiertos/,https://ddper.uct.cl/concursos-abiertos/,Área Gestión de Personas — seleccion@uct.cl; +56 9 6408 6912,unknown,unknown,https://www.uct.cl/facultades/facultad-de-ciencias-de-la-salud/,Mg. Claudia Bascuñán Valdés,secdecanato-cssalud@uct.cl,2026-09-03
universidad-de-atacama,Universidad de Atacama,yes,Atacama,3,"Three academic-research calls were open on 3 September 2026: Mining Engineering (published 01-09-2026), Chemistry and Biology, and Metallurgy (both published 26-08-2026). None is in Medicine or Internal Medicine.","No verified requirement concerning foreign degrees, revalidación, or Chilean nationality could be extracted from the three linked PDF calls. The live listing itself contains no such requirement; its PDFs should be checked directly before applying.",https://uda.cl/concursos-publicos/,https://uda.cl/concursos-publicos/,"Carla Zepeda Barraza, Jefa de Departamento de Recursos Humanos; carla.zepeda@uda.cl; +56 9 8901 1652.",yes,unknown,https://uda.cl/medicina/,Dr. Sergio Chiang Wong,karem.tordoya@uda.cl,2026-09-03
universidad-san-sebastian,Universidad San Sebastián,no,Biobío | Los Lagos | Los Ríos | Metropolitana,3,"Three open posts are classified by the live portal under Educación, Docencia e Investigación/Educación/Docencia: Director(a) de Carrera Educación Parvularia Advance (Puerto Montt), Académicos/as Facultad de Psicología Concepción, and the general “Académicos (as) Universidad San Sebastián” call. The latter explicitly includes Medicina and is the only current medicine-relevant academic call found. N","For the medicine-relevant general academic call, the published requirements state: “Grado académico de Doctor (Ph.D. o equivalente) en disciplinas afines a las áreas formativas de la Universidad.” The posted requirements do not state a Chilean nationality requirement, revalidación, or treatment of foreign degrees.",https://universidadsansebastian.hiringroom.com/portal/jobs,https://universidadsansebastian.hiringroom.com/jobs/get_vacancy/695d1f7211cddef4cd3fa036,UNKNOWN,unknown,unknown,https://www.uss.cl/facultades-y-carreras/medicina/,Carlos Miguel Pérez Cortes,callcenter@uss.cl,2026-09-03
universidad-catolica-del-norte,Universidad Católica del Norte,no,Coquimbo,2,"2 academic vacancies were open on 3 September 2026: one full-time Academic at Escuela de Educación, Coquimbo (deadline 20 September), and one full-time Academic at Escuela de Derecho, Antofagasta (deadline 25 September). No Medicine or Internal Medicine academic post was listed.","The Education vacancy states: “títulos extranjeros deben venir apostillados ante el Ministerio de Relaciones Exteriores / Gobierno de Chile.” It does not require Chilean nationality or state revalidación. The open Derecho vacancy does not state a foreign-title, revalidación, or nationality requirement.",https://www.ucn.cl/trabaja-con-nosotros/,https://www.ucn.cl/trabaja-con-nosotros/,seleccioncoq@ucn.cl (Education vacancy); claudia.ly@ucn.cl (Derecho vacancy),yes,no,https://www.ucn.cl/universidad/facultades-escuelas-y-departamentos/facultad-de-medicina/,Paula Ligeti Stuardo,vinculacionfamed@ucn.cl,2026-09-03
universidad-de-concepcion,Universidad de Concepción,no,Biobío,1,"1 open academic post found today: Geophysics, 44 hours/week, women-only, publication 2026/187; deadline 30 September 2026. No Medicine or Internal Medicine academic post was found. The main portal displayed 21 open jobs overall, but not all were academic.","The open academic call does not state a Chilean-title, revalidation, or nationality requirement. For international hires it states: “Los solicitantes internacionales seleccionados para el puesto deberán presentar documentación que demuestre la residencia permanente, un permiso de residencia temporal válido o prueba de una solicitud de residencia en curso antes del nombramiento.”",https://udec.trabajando.cl/,https://udec.trabajando.cl/trabajo-empleo/geof%C3%ADsica,concursos@udec.cl,yes,unknown,https://udecmed.cl/,Ana María Moraga Palacios,medicina@udec.cl,2026-09-03
