lane,step_no,name,actor,where,requires_presence_in_chile,requires_rut,cost_amount,cost_unit,cost_as_of,duration_days_min,duration_days_max,documents,source_claim_ids
L02,1,"Assemble and apostille the Ukrainian documents (diploma, transcript with hours, study plan, subject programmes, professional habilitation) and have them officially translated into Spanish","Applicant, Ukrainian authorities, translator",Ukraine,False,False,0,none,2026-09-03,30,120,Diploma original apostillado | Concentracion de notas original apostillada | Plan de estudios original apostillado | Programas de estudios | Curriculum Vitae | Habilitacion profesional apostillada | Pasaporte,L02-C08 L02-C09
L02,2,Create a Cuenta Uchile using the passport as identity document,Applicant,online,False,False,0,none,2026-09-03,1,7,Pasaporte,L02-C03 L02-C04
L02,3,"Pay the 2 UTM entry arancel in Chilean pesos from a Chilean bank account or by Banco Santander deposit, in the SAME calendar month as the application",Applicant or a third party resident in Chile,Chile,False,False,2,UTM,"2026-09 (UTM CLP 71.721, so 2 UTM = CLP 143.442)",1,5,Comprobante de pago,L02-C05 L02-C15 L02-C17
L02,4,"Lodge the application in the Ucampus 'Revalidacion de titulo' module: three-step form, all documents as PDF, signed declaracion jurada, payment receipt attached",Applicant,online,False,False,0,none,2026-09-03,1,14,All apostilled and translated documents as PDF | Ficha Declaracion de Solicitud firmada a mano | Comprobante de pago,L02-C03 L02-C05
L02,5,"Attend (or send an apoderado to) the cita to verify the ORIGINAL documents, then official registration - STATUS CONTESTED, may no longer exist",Applicant or a third party holding an apostilled poder notarial,Chile,True,False,0,none,2026-09-03,20,60,"Original apostilled diploma, transcript, study plan and habilitacion | Poder notarial apostillado if a proxy attends",L02-C06 L02-C07 L02-C08
L02,6,Pay 3 UTM and undergo the curricular study at the Faculty of Medicine (70 to 80 per cent equivalence threshold),"Unidad de Revalida, Secretaria de Estudios, Facultad de Medicina",Chile,False,False,3,UTM,2026-09 (CLP 215.163),60,180,Expediente digital,L02-C10 L02-C15 L02-C18
L02,7,Pay 15 UTM for cumplimiento de exigencias and be allocated a place in the monthly exam calendar,Applicant,Chile,False,False,15,UTM,2026-09 (CLP 1.075.815),1,60,Comprobante de pago,L02-C13 L02-C15 L02-C16
L02,8,"Sit the theory exam in person at sede Eloisa Diaz: five parts of 20 MCQ on EUNACOM content, 60 per cent pass, up to three attempts, monthly March to December",Applicant,Chile,True,False,0,none,2026-09-03,30,365,Pasaporte,L02-C11 L02-C13
L02,9,"Sit the ECOE practical examinations in Medicina Interna, Pediatria, Ginecologia y Obstetricia and Cirugia, up to three attempts each, in Spanish",Applicant,Chile,True,False,0,none,2026-09-03,60,540,Pasaporte,L02-C12 L02-C14 L02-C19
L02,10,Prorrector resolves the revalidacion; Oficina de Titulos y Grados issues the diploma; the Registro Civil is notified for the Registro Publico de Profesionales,"Prorrectoria and Oficina de Titulos y Grados, Universidad de Chile",Chile,False,False,52000,CLP,"UNDATED page, retrieved 2026-09-03",15,90,Oficio de aprobacion | Diploma de revalidacion,L02-C15 L02-C18
L04,1,"Assemble and apostille the Ukrainian medical diploma (plus any Ukrainian professional-habilitation document), with an apostille verifiable online","Candidate, via the competent Ukrainian ministry",Ukraine,False,False,0,none,2026-09-03,14,90,диплом лікаря (original or notarised copy) | apostille with online verification | сертифікат лікаря-спеціаліста if Ukraine requires it to practise | passport,L04-C24
L04,2,Obtain an official Spanish translation of every non-Spanish document,Candidate,either,False,False,0,none,2026-09-03,7,30,traducción oficial of the diploma and of any habilitación document,L04-C24
L04,3,Pay the EUNACOM-ST registration fee online via Flow,Candidate,online,False,False,310000,CLP,2025-07-01,1,1,comprobante de pago Flow,L04-C16
L04,4,Book an appointment at reservas.eunacom.cl and formalise the first registration in person at the ASOFAMECH office in Santiago - may be done by an authorised third party with a poder simple,Candidate or an authorised third party (e.g. her son in Chile),Chile,True,False,0,none,2026-09-03,1,30,"passport, or a notarised or apostilled copy | 4x4 cm photo on photographic paper | apostilled diploma, original or notarised copy | Formulario de inscripción, unsigned until the appointment | comprobante de pago",L04-C12 L04-C13 L04-C24
L04,5,Sit the EUNACOM-ST in Chile (next sitting 16 December 2026; registration closes 30 October 2026),Candidate in person,Chile,True,False,0,none,2026-09-03,1,1,the same identity document used at registration | pencil No2 and eraser,L04-C14 L04-C15 L04-C18
L04,6,"Receive the ST result and, if 51 or more, register online for the EUNACOM-SP - the first registration must be for all four etapas",Candidate,online,False,False,720000,CLP,2025-07-01,14,730,photographs of the identity document,L04-C09 L04-C16 L04-C17
L04,7,"Wait for ASOFAMECH to propose the examining school and dates (up to 45 days), then accept within 3 working days; a second rejection withdraws the registration",ASOFAMECH assigns; candidate accepts,online,False,False,0,none,2026-09-03,3,93,,L04-C09
L04,8,"Sit the four EUNACOM-SP etapas in person at the assigned Chilean medical school, all within a maximum of three months",Candidate in person,Chile,True,False,0,none,2026-09-03,30,90,identity document,L04-C09 L04-C14
L04,9,Receive the digital Certificado de Aprobación EUNACOM by email - at this point and only at this point is the title automatically revalidated,ASOFAMECH,online,False,False,0,none,2026-09-03,10,40,"Certificado de Aprobación EUNACOM, indefinite validity",L04-C01 L04-C08 L04-C17
L05,1,"Assemble and legalise the Ukrainian specialty dossier (diploma, specialist certificate, the OFFICIAL training programme, evidence of continuous practice in the specialty)","The applicant, with Ukrainian apostille and a Spanish translator",Ukraine,False,False,0,none,2026-09-03,30,120,titulo de medico cirujano apostillado | certificado de especialista en reumatologia apostillado | certificado de especialista en medicina interna si existe | programa oficial de la formacion de especialista traducido al espanol | certificado de continuidad en el ejercicio de la especialidad | curriculum vitae respaldado,L05-C14
L05,2,"Write to the Superintendencia de Salud (Intendencia de Prestadores) and to CONACEM to confirm in writing that the Ley 20.985 route is open to a doctor still resident abroad, and how such a certificate is recorded in the RNPI",The applicant or an apoderado,online,False,False,0,none,2026-09-03,10,60,consulta escrita,L05-C25 L05-C11 L05-C12
L05,3,"Register online with CONACEM and lodge the Formacion en el Extranjero application for MEDICINA INTERNA, since Reumatologia is gated behind it",The applicant; the CONACEM Comite de Medicina Interna decides equivalence,online,False,False,150000,CLP,2025-09-02,60,240,programa oficial traducido al espanol | certificado de titulo de especialista con legalizaciones o apostilla | declaracion jurada simple | curriculum vitae,L05-C13 L05-C14 L05-C15
L05,4,"Sit the CONACEM written exam in Medicina Interna (multiple choice, Spanish only, 65% pass, up to 3 attempts, scheduled at least twice a year)",The applicant,Chile,True,False,300000,CLP,2025-09-02,30,210,citacion por correo electronico,L05-C14 L05-C15 L05-C17
L05,5,"Sit the CONACEM practical exam in Medicina Interna (three to five half-days with real or simulated patients in a Chilean teaching hospital, Spanish only, up to 2 attempts)",The applicant; the examiner is a professor at an ASOFAMECH medical school,Chile,True,False,450000,CLP,2025-09-02,30,240,,L05-C14 L05-C15 L05-C17
L05,6,Repeat the application and the two exams for REUMATOLOGIA once Medicina Interna is certified,The applicant; the CONACEM Comite de Reumatologia,Chile,True,False,1060000,CLP,2025-09-02,180,540,certificado CONACEM de Medicina Interna | programa oficial de reumatologia traducido al espanol,L05-C13 L05-C15 L05-C16 L05-C17
L05,7,Collect the CONACEM diplomas; under Ley 20.985 the certificate will state that it is valid for the public health sector,The applicant,Chile,True,False,160000,CLP,2025-09-02,15,60,,L05-C12 L05-C15
L05,8,"Obtain a RUN and a Chilean domicile, then inscribe title and specialty in the Registro Nacional de Prestadores Individuales de Salud",The applicant; the Superintendencia de Salud validates with the entidad habilitante,Chile,True,True,0,CLP,2026-03-27,15,90,"formulario en linea con RUN, direccion chilena, region y comuna | certificado CONACEM | documento habilitante (revalidacion) si se sigue la via ordinaria",L05-C01 L05-C02 L05-C03 L05-C04 L05-C08
L05,9,"OPTIONAL, private practice only: sign the FONASA Modalidad de Libre Eleccion convenio","The applicant, via ClaveUnica on the FONASA site",Chile,True,True,0,CLP,2026-07-08,15,90,cedula nacional de identidad vigente o visa de residencia vigente | inscripcion RNPI | iniciacion de actividades SII | cuenta bancaria | patente comercial o profesional del lugar de atencion,L05-C21
L05,10,"OPTIONAL, networking only: apply to SOCHIRE as Socio Adherente, then as Socio Titular once certified",The applicant; the SOCHIRE Directorio,Chile,False,False,0,none,2026-09-03,30,180,fotocopia del titulo de medico cirujano | certificado de especialidad | curriculum vitae actualizado | patrocinio escrito de dos socios titulares,L05-C22
L06,1,Monitor the rolling concurso pages of Chilean medical faculties (Universidad de Chile publishes ~4 posts per month in 30-day windows),candidate,online,False,False,0,none,2026-09-03,1,365,,L06-C09 L06-C10
L06,2,"Apostille the Ukrainian medical diploma, transcript, PhD diploma, доцент certificate and specialty certificate, then obtain an official translation",candidate (Ukrainian authorities + translator),Ukraine,False,False,0,none,UNKNOWN,14,90,диплом лікаря | додаток до диплома | диплом кандидата медичних наук | атестат доцента | сертифікат лікаря-спеціаліста,L06-C01 L06-C08 L06-C18
L06,3,"Submit the application (CV in extenso, sworn declaration, ID document, criminal-record certificate, apostilled titles, recommendation letters) via concurso-academico.uchile.cl or the faculty concursos email",candidate,online,False,False,0,none,2026-09-03,1,30,Currículum Vitae in Extenso (Anexo 1) | Declaración Jurada (Anexo 2) | Cédula de Identidad o Pasaporte | Certificado de antecedentes | títulos apostillados + traducción | cartas de recomendación,L06-C09 L06-C11 L06-C19
L06,4,"Admissibility screening, curricular evaluation and oposición (interview), conducted in person in Santiago or virtually at the faculty's choice, in Spanish",Comisión de Concursos Académicos of the faculty,either,False,False,0,none,2026-09-03,30,120,,L06-C18 L06-C19
L06,5,"If selected, apply for a residencia temporal that permits paid work — filed from OUTSIDE Chile — and evidence compliance with immigration rules before duties begin",candidate + Servicio Nacional de Migraciones,Ukraine,False,False,0,none,UNKNOWN,60,365,contrato o carta de la universidad | pasaporte | títulos legalizados o apostillados,L06-C04 L06-C07
L06,6,Take up the post and undergo jerarquización — the university's evaluation commission assigns the academic rank; no foreign rank is carried over,university evaluation commission,Chile,True,True,0,none,2026-09-03,30,365,antecedentes académicos | publicaciones,L06-C12 L06-C14 L06-C17
L11,1,"Watch the four Universidad de Chile Facultad de Medicina concurso pages plus the Colegio Médico bolsa laboral, weekly",Candidate (from Ukraine),online,False,False,0,none,2026-09-03,1,365,,L11-C01 L11-C13
L11,2,"Assemble the application dossier: CV in extenso (Anexo 1), sworn declaration (Anexo 2), passport copy, criminal-record certificate, apostilled and officially translated diploma, doctorate and specialty certificates, and recommendation letters",Candidate,Ukraine,False,False,0,none,2026-09-03,30,120,Currículum Vitae in Extenso (Anexo N°1) | Declaración Jurada Simple (Anexo N°2) | Pasaporte vigente | Certificado de antecedentes vigente | Título de médico apostillado + traducción oficial | Diploma de кандидат медичних наук apostillado + traducción oficial | Certificado de especialidad apostillado + traducción oficial | Cartas de recomendación,L11-C05 L11-C06
L11,3,"Write to rrhhacademicos.med@uchile.cl and concursos.med@uchile.cl BEFORE applying to confirm passport acceptance, the acceptability of a Ukrainian police-record certificate in place of the Chilean certificado de antecedentes, and at what stage a residence permit becomes mandatory",Candidate,online,False,False,0,none,2026-09-03,3,30,,L11-C04 L11-C06 L11-C23
L11,4,Submit the application through concurso-academico.uchile.cl (or by email for the batch that requires it) inside the 30-day window,Candidate,online,False,False,0,none,2026-09-03,1,30,Full dossier from step 2,L11-C01 L11-C23
L11,5,Admissibility screening and curricular scoring by the Comisión de Concursos (pass mark 600 of 1000),"Comisión de Concursos, Facultad de Medicina, Universidad de Chile",Chile,False,False,0,none,2026-09-03,14,60,,L11-C04 L11-C05
L11,6,"Oposición: deliver a scored teaching presentation on a topic set by the Comisión, in person at Campus Norte or virtually, followed by questions (pass mark 600 of 1000)",Candidate before the Comisión de Concursos,either,False,False,0,none,2026-09-03,1,30,,L11-C07 L11-C08
L11,7,"If awarded: accredit compliance with Chilean immigration rules and take up a contrata contract running to 31 December of the year in course, renewable",Candidate + Universidad de Chile,Chile,True,True,0,none,2026-09-03,30,180,Residence permit / visa,L11-C04
L02,1,"Prepare admissibility documents: apostilled degree, grades, plan, professional authorisation, full programmes, passport, translations, and signed declaration.",Applicant in Ukraine; Ukrainian university/competent authorities; translator,Ukraine,False,False,0,none,2026-09-03,0,0,Apostilled diploma | Apostilled transcript with grading scale | Apostilled curriculum/plan with hours or credits | Apostilled professional-authorisation evidence | Complete course programmes | Passport | Spanish translations | Signed declaration,L02-C06
